TunnelName,WikiLink,TunnelType,Length[m],OpeningDate,Latitude,Longitude
Primrose Hill Fast Tunnel,No link,Railway,1080.0,1879[18],,
Primrose Hill Slow Tunnel,No link,Railway,1070.0,1837[18],,
Rotherhithe Tunnel,/wiki/Rotherhithe_Tunnel,Road,1481.0,1908[42],51.506388888888885,-0.04861111111111111
Snow Hill tunnel,/wiki/Snow_Hill_Tunnel_(London),Railway,,1866,51.51777777777777,-0.10388888888888889
St John's Wood Tunnel,No link,Railway,1469.0,1899,,
South Hampstead Tunnel,No link,Railway,1328.0,1922,,
South Harrow Tunnel,No link,Railway,187.0,1905,,
Stoke Newington Tunnel,No link,Railway,55.0,1872,,
Strand Underpass,/wiki/Strand_Underpass,Road,365.0,1964,51.51658333333334,-0.11886111111111111
Sydenham Hill (also Penge),No link,Railway,1958.0,1863,,
Thames Tunnel,/wiki/Thames_Tunnel,Railway,396.0,1843,51.503055555555555,-0.051944444444444446
Tottenham North Curve Tunnel No.1,No link,Railway,146.0,1883[18],,
Tottenham North Curve Tunnel No.2,No link,Railway,64.0,1883,,
Tottenham North Curve Tunnel No.3,No link,Railway,94.0,1883,,
Tower Subway,/wiki/Tower_Subway,Pedestrian (disused),411.0,1870,51.50833333333333,-0.07888888888888888
Wood Green Tunnel,No link,Railway,645.0,1848,,
Woolwich Foot Tunnel,No link,Pedestrian,495.0,1912,,
Kingsway Tunnel,/wiki/Kingsway_Tunnel,Road,2483.0,1971,53.41305555555555,-3.01
Mersey Railway,/wiki/Mersey_Railway,Railway,3820.0,1886–1892,,
Queensway Tunnel,/wiki/Queensway_Tunnel,Road,3237.0,1934,53.40083333333333,-3.0030555555555556
Scholes Tunnel,No link,Railway,73.0,1871,,
Victoria Tunnel & Waterloo Tunnel,/wiki/Victoria_Tunnel_(Liverpool),Railway,3254.0,1849,53.401944444444446,-2.9461111111111116
Wapping Tunnel,/wiki/Wapping_Tunnel,Railway,2030.0,1829,53.39972222222222,-2.9697222222222224
Williamson Tunnels,/wiki/Williamson_Tunnels,Folly,3000.0,1800–40,53.40472222222222,-2.958888888888889
Aylsham Bypass Tunnel,/wiki/Aylsham_Bypass_Tunnel,Railway,166.0,1990,52.78972222222222,1.2619444444444445
Cromer Tunnel,/wiki/Cromer_Tunnel,Railway,56.0,1888,52.91777777777777,1.3091666666666668
Blisworth Tunnel,/wiki/Blisworth_Tunnel,Canal,2794.0,1805,52.15611111111111,-0.928611111111111
Braunston Tunnel,/wiki/Braunston_Tunnel,Canal,1887.0,1796,52.282777777777774,-1.1725
Catesby Tunnel,No link,Railway,2740.0,1899,,
Corby Tunnel,No link,Railway,1760.0,1878,,
Crick Tunnel,/wiki/Grand_Union_Canal,Canal,1397.0,1814,52.05083333333333,-0.7338888888888888
Hunsbury Hill Tunnel,/wiki/Hunsbury_Hill_Tunnel,Railway,1053.0,1881,52.22222222222222,-0.9155555555555556
Kelmarsh Tunnel,/wiki/Kelmarsh_Tunnel,Railway,294.0,1859,52.406666666666666,-0.8966666666666666
Kilsby Tunnel,/wiki/Kilsby_Tunnel,Railway,2218.0,1838,52.33111111111111,-1.1638888888888888
Oxendon Tunnel,/wiki/Oxendon_Tunnel,Railway,422.0,1859,52.44277777777778,-0.9158333333333334
Stowe Hill tunnel,/wiki/Stowe_Hill_tunnel,Railway,449.0,1838,52.22083333333334,-1.0611111111111111
Hillhead Tunnel,No link,Railway,321.0,1887,,
Annesley Tunnel,/wiki/Robin_Hood_Line,Railway,915.0,1892,,
Barnstone Tunnel,No link,Railway,90.0,1899,,
Ashwell Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,64.0,1889,52.958333333333336,-1.1477777777777778
Drakeholes Tunnel,/wiki/Chesterfield_Canal#Drakeholes_Tunnel,Canal,141.0,1777,53.239919444444446,-1.4210055555555556
Mapperley Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Northern_Railway,Railway,1035.0,1875,52.958333333333336,-1.1477777777777778
Park Tunnel,"/wiki/Park_Tunnel,_Nottingham",Horsedrawn carriages,,Unknown,52.95444444444445,-1.1594444444444443
Redhill Tunnel,No link,Unknown,,Unknown,,
Sherwood Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,404.0,1889,52.958333333333336,-1.1477777777777778
Sherwood Rise Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,605.0,1899,52.958333333333336,-1.1477777777777778
Sneinton Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,117.0,1889,52.958333333333336,-1.1477777777777778
"Stanton Tunnel, Railway Test Track, Stanton on the Wolds",No link,Railway,1220.0,1879,,
Thorneywood Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,373.0,1889,52.958333333333336,-1.1477777777777778
Victoria Street Tunnel also known as Weekday Cross Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,266.0,1897,52.958333333333336,-1.1477777777777778
Watnall Tunnel,/wiki/Great_Northern_Railway_(Great_Britain),Railway,245.0,Unknown,,
Mansfield Road Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,1087.0,1898 [44],52.958333333333336,-1.1477777777777778
ArdleyTunnel,No link,Railway,1056.0,1910,,
Bodleian Library Tunnel,/wiki/Bodleian_Library,Library,,Unknown,51.753972222222224,-1.2551388888888888
Horspath or Wheatley Tunnel,No link,Railway,479.0,1864,,
Wolvercot Tunnel,No link,Railway,133.0,1850,,
Glaston Tunnel,No link,Railway,1684.0,1878,,
Manton Tunnel,No link,Railway,685.0,1846,,
Seaton Tunnel,No link,Railway,188.0,1878,,
Wing Tunnel,No link,Railway,323.0,1878,,
Knowlesands Tunnel,/wiki/Knowlesands_Tunnel,Railway,40.0,1862,52.384166666666665,-2.2397222222222224
Oakengates Tunnel,/wiki/Oakengates_railway_station,Railway,430.0,1849,52.69305555555555,-2.45
Chilcompton Tunnel,No link,Railway,59.0,1874,,
Combe Down Tunnel,/wiki/Combe_Down_Tunnel,Railway,1672.0,1874,51.35611111111111,-2.341388888888889
Devonshire Tunnel,/wiki/Devonshire_Tunnel,Railway,409.0,1874,51.36944444444445,-2.365555555555556
Somerton Tunnel,/wiki/Somerton_Tunnel,Railway,963.0,1906,51.04333333333333,-2.7575
White Ball Tunnel,/wiki/White_Ball_Tunnel,Railway,990.0,1844,50.95861111111111,-3.2824999999999998
Winsor Hill Down Tunnel,No link,Railway,219.0,1874,,
Winsor Hill Up Tunnel,No link,Railway,115.0,1892,,
Birchall Tunnel,No link,Railway,63.0,1849,,
Bradnop Tunnel,No link,Railway,33.0,1905,,
Cheddleton Tunnel,No link,Railway,486.0,1849,,
Harecastle Tunnel(Brindley),/wiki/Harecastle_Tunnel#Brindley_Tunnel,Canal,2630.0,1777,53.07416666666667,-2.236388888888889
Harecastle Tunnel(Telford),/wiki/Harecastle_Tunnel#Telford_Tunnel,Canal,2676.0,1827,53.07416666666667,-2.236388888888889
Harecastle railway tunnel,/wiki/Harecastle_railway_tunnel,Railway,200.0,1965,53.069722222222225,-2.2322222222222226
Leek Tunnel,No link,Railway,432.0,1849,,
Meir Tunnel,No link,Railway,744.0,1894,,
Meir Tunnel,No link,Road,260.0,1997,,
Oakamoor Tunnel,/wiki/Oakamoor_tunnel,Railway,454.0,1849,52.9975,-1.9219444444444442
Shugborough Tunnel,No link,Railway,710.0,1847,,
Stockton Brook Tunnel,No link,Railway,66.0,1867,,
Swainsley Tunnel,No link,Road,150.0,1904,,
Stoke Tunnel,/wiki/Stoke_Tunnel_(Ipswich),Railway,330.0,1846,51.51888888888889,-0.08138888888888889
Betchworth Tunnel,/wiki/Sutton_and_Mole_Valley_Lines#Tunnels,Railway,352.0,1867,,
Bletchingley Tunnel,No link,Railway,1213.0,1842,,
Hindhead Tunnel,/wiki/Hindhead_Tunnel,Road,1830.0,2011,51.11083333333333,-0.7322222222222222
Limpsfield Tunnel,No link,Railway,504.0,1884,,
Merstham Tunnel,/wiki/Merstham_tunnels#Merstham_Tunnel,Railway,1674.0,1841,51.27388888888889,-0.15194444444444444
Mickleham Tunnel,/wiki/Sutton_and_Mole_Valley_Lines#Tunnels,Railway,479.0,1867,,
Oxted Tunnel,No link,Railway,2067.0,1884,,
Quarry Tunnel[49],/wiki/Merstham_tunnels#Quarry_Tunnel,Railway,1932.0,1899,51.27388888888889,-0.15194444444444444
Redhill Tunnel,/wiki/Redhill_tunnel_(Surrey),Railway,593.0,1899,51.23888888888889,-0.1613888888888889
Reigate Tunnel,No link,Horsedrawn carriages,91.0,1823,,
St Catherine's Tunnel,/wiki/Portsmouth_Direct_Line,Railway,121.0,1849,,
Tyne Tunnel,/wiki/Tyne_Tunnel,Road,1676.0,1967,54.98777777777778,-1.4855555555555555
Victoria Tunnel,/wiki/Victoria_Tunnel_(Newcastle),Wagonway,,1842,,
Fenny Compton Tunnel,No link,Canal,1000.0,1776,,
Harbury Tunnel,No link,Railway,64.0,Unknown,,
Shrewley Tunnel,/wiki/Shrewley_Tunnel,Canal,396.0,1799,52.302499999999995,-1.6875
Newbold Tunnel,No link,Canal,,1778,,
Anchor Exchange,/wiki/Anchor_Exchange,Telephone,,Unknown,52.48277777777778,-1.9041666666666666
Snow Hill Tunnel,/wiki/Snow_Hill_Tunnel_(Birmingham),Railway,581.0,1852,52.48305555555556,-1.8983333333333332
Black Lake Tunnel,/wiki/Black_Lake_Tunnel,Railway,377.0,?,52.53861111111111,-2.015833333333333
Dudley Tunnel,/wiki/Dudley_Tunnel,Canal,2884.0,1792,52.5175,-2.086666666666667
Dudley Railway Tunnel,/wiki/Dudley_Railway_Tunnel,Railway,867.0,1850,52.50833333333333,-2.0786111111111114
Hockley Tunnel 1,/wiki/Hockley_Tunnel,Railway,124.0,?,52.489444444444445,-1.9127777777777777
Hockley Tunnel 2,/wiki/Hockley_Tunnel,Railway,150.0,?,52.489444444444445,-1.9127777777777777
Lapal Tunnel,/wiki/Lapal_Tunnel,Canal,3470.0,1798,52.44499999999999,-2.0016666666666665
Netherton Canal Tunnel,/wiki/Netherton_Tunnel_Branch_Canal,Canal,2768.0,1858,52.504444444444445,-2.0594444444444444
Queensway (Birmingham),/wiki/Queensway_(Birmingham),Road,548.0,Unknown,52.48305555555556,-1.9024999999999999
Wast Hills Tunnel,/wiki/Wast_Hills_Tunnel,Canal,2493.0,1796,52.390277777777776,-1.94
Balcombe tunnel,/wiki/Balcombe_tunnel,Railway,1036.0,1841,51.07222222222222,-0.1525
Clayton Tunnel,/wiki/Clayton_Tunnel,Railway,2066.0,Unknown,53.77638888888889,-1.831388888888889
Haywards Heath Tunnel,/wiki/Haywards_Heath_Tunnel,Railway,228.0,Unknown,50.981944444444444,-0.09
Lywood Tunnel,No link,Railway,197.0,1883,,
Midhurst Tunnel,No link,Railway,252.0,1866,,
North Stoke Tunnel,No link,Railway,76.0,Unknown,,
Sharpthorne Tunnel,/wiki/Sharpthorne_Tunnel,Railway,668.0,1882,51.032777777777774,-0.04666666666666667
Southwick Hill Tunnel,/wiki/Southwick_Hill_Tunnel,Road,490.0,1996,50.85472222222222,-0.2386111111111111
Box Tunnel,/wiki/Box_Tunnel,Railway,2937.0,1841,51.421388888888885,-2.2261111111111114
Bruce Tunnel,/wiki/Bruce_Tunnel,Canal,459.0,1809,51.367777777777775,-1.6627777777777777
Alderton Tunnel,/wiki/Alderton_Tunnel,Railway,463.0,1903,51.541666666666664,-2.2219444444444445
Colwall Old Tunnel,/wiki/Colwall_Tunnels,Railway,1433.0,1861,52.08388888888889,-2.3505555555555557
Colwall New Tunnel,/wiki/Colwall_Tunnels,Railway,1433.0,1926,52.08388888888889,-2.3505555555555557
Ledbury Tunnel,/wiki/Ledbury_Tunnel,Railway,1205.0,1861,52.044999999999995,-2.4216666666666664
Dinmore Tunnel,/wiki/Dinmore_Tunnel,Railway,970.0,1853 Up Line and 1891 Down Line,52.15694444444444,-2.715555555555556
Redditch Tunnel,No link,Railway,300.0,1868,,
Drewton Tunnel,/wiki/Drewton_Tunnel,Railway,1933.0,1885,53.78861111111111,-0.5416666666666666
Sugar Loaf Tunnel,/wiki/Sugar_Loaf_Tunnel,Railway,121.0,1885,53.788333333333334,-0.5638888888888889
Weedley Tunnel,/wiki/Weedley_Tunnel,Railway,121.0,1885,53.78611111111111,-0.5822222222222222
Burdale Tunnel,/wiki/Burdale_Tunnel,Railway,1597.0,1853,54.06333333333333,-0.6797222222222222
Blea Moor Tunnel,/wiki/Blea_Moor_Tunnel,Railway,2404.0,1876,54.2402,-2.3583000000000003
Grosmont Horse Tunnel,/wiki/Grosmont_Tunnel,Railway,119.0,1835,54.43438888888888,-0.7248888888888889
"Prospect Tunnel, Crimple, Harrogate",No link,Railway,754.0,1848,,
Falsgrave Tunnel,No link,Railway,240.0,1885,,
Haw Bank Tunnel,/wiki/Yorkshire_Dales_Railway#History,Railway,200.0,1888,,
Kettleness Tunnel,No link,Railway,282.0,1883,,
Mossdale Head Tunnel,No link,Railway,99.0,1878,,
Ravenscar Tunnel,No link,Railway,255.0,1885,,
Sandsend Tunnel,/wiki/Sandsend_Tunnel,Railway,1511.0,1883,54.52361111111111,-0.7036111111111111
Woodsmith Mine Tunnel,/wiki/Woodsmith_Mine_Tunnel,Mineral transport,37000.0,2021,54.494166666666665,-0.9002777777777778
Bradway Tunnel,/wiki/Bradway_Tunnel,Railway,1853.0,1870,53.315555555555555,-1.4941666666666666
Cat Hill Tunnel,/wiki/Cat_Hill_Tunnel,Railway,141.0,1840,53.53333333333333,-1.363611111111111
Norwood Tunnel,/wiki/Norwood_Tunnel,Canal,2637.0,1775,53.335,-1.2697222222222222
Thurgoland Tunnel (old),/wiki/Thurgoland_Tunnel,Railway,288.0,1845,53.50083333333333,-1.573611111111111
Thurgoland Tunnel (new),/wiki/Thurgoland_Tunnel,Railway,310.0,1953,53.50083333333333,-1.573611111111111
Woodhead Tunnel 1,/wiki/Woodhead_Tunnel,Railway,4840.0,1845,53.495555555555555,-1.8297222222222222
Woodhead Tunnel 2,/wiki/Woodhead_Tunnel,Railway,4840.0,1853,53.495555555555555,-1.8297222222222222
Woodhead Tunnel 3,/wiki/Woodhead_Tunnel,Railway,4871.0,1953,53.495555555555555,-1.8297222222222222
Bingley Tunnel,No link,Railway,138.0,1847,,
Bramhope Tunnel,/wiki/Bramhope_Tunnel,Railway,3439.0,1849,53.88972222222222,-1.6125
Gildersome Tunnel,No link,Railway,2131.0,1900,,
Greenside Tunnel,/wiki/Greenside_Tunnel,Railway,563.0,1893,53.78972222222222,-1.67
Lees Moor Tunnel,/wiki/Lees_Moor_Tunnel,Railway,1402.0,1884,53.840805555555555,-1.9269444444444443
Morley Tunnel,/wiki/Morley_Tunnel,Railway,3081.0,1848,53.74888888888889,-1.5927777777777778
Queensbury Tunnel,/wiki/Queensbury_Tunnel,Railway,2501.0,1879,53.77388888888889,-1.8436111111111113
Standedge Tunnels,/wiki/Standedge_Tunnels,Canal,5029.0,1811,53.59111111111111,-1.962222222222222
Standedge Tunnels – Central tunnel,/wiki/Standedge_Tunnels,Railway,4880.0,1848,53.59111111111111,-1.962222222222222
Standedge Tunnels – Central tunnel,No link,Railway,4803.0,1848,,
Standedge Tunnels – South tunnel,/wiki/Standedge_Tunnels,Railway,4880.0,1871,53.59111111111111,-1.962222222222222
Standedge Tunnels – live tunnel,/wiki/Standedge_Tunnels,Railway,4883.0,1894,53.59111111111111,-1.962222222222222
Summit Tunnel,/wiki/Summit_Tunnel,Railway,2638.0,1841,53.68388888888889,-2.0919444444444446
Thackley Tunnel,/wiki/Thackley_Tunnel,Railway,1200.0,1845,53.845555555555556,-1.7286111111111113
Victoria Avenue Tunnel,No link,Road (A658),237.0,1982/3 [1],,
Well Heads Tunnel,No link,Railway,605.0,1882,,
Bodorgan Tunnel,No link,Railway,530.0,1849,,
"Nottage, Porthcawl",/wiki/Llynvi_and_Ogmore_Railway,Railway,58.0,1829?,,
Penar Tunnel,No link,Railway,219.0,Unknown,,
"Glyn Tunnel, Hafodyrynys",/wiki/Hafodyrynys,Railway,260.0,1857,51.68388888888889,-3.118611111111111
Caerphilly Tunnel,No link,Railway,1768.0,1871,,
Queensgate Tunnel,/wiki/A4232#Link_roads#Butetown_Link_Road#Queen's_Gate_Tunnel,Road,715.0,1995,51.506388888888885,-3.3105555555555553
Bryn Teify Tunnel,No link,Railway,92.0,?,,
Pencader Tunnel,/wiki/Pencader_Tunnel,Railway,901.0,1861,51.981944444444444,-4.299444444444444
Conwy Road Tunnel[56],/wiki/A55_road#The_Conwy_Bypass,Road,1080.0,1991,53.2875,-3.8238888888888884
Penmaenbach Westbound Tunnel[56],No link,Road,658.0,1989,,
Penmaenbach Eastbound Headland Tunnel[56],No link,Road,172.0,1932,,
Pen-y-Clip Westbound Tunnel[56],No link,Road,930.0,1994,,
"Penhelig Tunnels (Aberdovey No. 1, Fron-gôch)",No link,Railway,180.0,1867,,
"Penhelig Tunnels (Aberdovey No. 2, Morfa Bach)",No link,Railway,200.0,1867,,
Penhelig Tunnels (Aberdovey No. 3),/wiki/Penhelig_railway_station,Railway,175.0,1867,52.54611111111111,-4.035
"Penhelig Tunnels (Aberdovey No. 4, Craig-y-Don)",/wiki/Penhelig_railway_station,Railway,487.0,1867,52.54611111111111,-4.035
Ffestiniog Tunnel,No link,Railway,3407.0,Unknown,,
Severn Tunnel,/wiki/Severn_Tunnel,Railway,7012.0,1886,51.575,-2.688888888888889
Gibraltar Tunnel,No link,Road,185.0,1968,,
"Bryn Tunnel, Hengoed",No link,Railway,364.0,Unknown,,
Clydach Tunnels,No link,Railway,250.0,"1862, doubled 1877",,
Gelli-felen Tunnels,No link,Railway,230.0,1862,,
Monmouth Troy,/wiki/Monmouth_Troy_railway_station#Tunnel,Railway,130.0,1857,51.80277777777778,-2.713611111111111
Usk,/wiki/Usk_(GWR)_railway_station#Usk_tunnel,Railway,234.0,1857,51.70638888888889,-2.9055555555555554
"Cymmer, Afan Valley",No link,Railway,1458.0,Unknown,,
"Gelli, Afan Valley",No link,Railway,153.0,1882,,
"Gyfylchi Tunnel, Tonmawr / Afan Valley",No link,Railway (disused),932.0,1863,,
"Cwmcerwyn, Maesteg",/wiki/Port_Talbot_Railway_and_Docks_Company,Railway,920.0,1964,,
"Hillfield Tunnels, Newport",/wiki/Newport_railway_station,Railway,700.0,Unknown,51.58888888888889,-3.000277777777778
"Gaer Tunnel, Newport",/wiki/Newport_railway_station,Railway,369.0,Unknown,51.58888888888889,-3.000277777777778
Brynglas Tunnels,/wiki/Brynglas_Tunnels,Road,370.0,1967,51.60333333333333,-2.9975
"Castle Tunnel, Maenclochog",No link,Railway,91.0,1867,,
Saundersfoot Railway,/wiki/Saundersfoot_Railway,Railway,450.0,Unknown,,
Torpantau Tunnel,/wiki/Torpantau_railway_station#Torpantau_Tunnel,Railway,610.0,1863,51.84055555555556,-3.3808333333333334
Tal-y-llyn Tunnel,No link,Railway,616.0,1864,,
Ashford Tunnel,No link,Canal,343.0,1800,,
Rhayader Tunnel,No link,Railway,270.0,1864,,
Marteg Tunnel,No link,Railway,340.0,1864,,
Abernant / Merthyr,No link,Railway,2283.0,1853,,
Garth or Walnut Tree Tunnel,No link,Railway,410.0,1905,,
"Morlais Tunnel, Merthyr Tydfil",No link,Railway,948.0,1 June 1879,,
"Quaker's Yard or Cefn-Glas Tunnel, Abercynon",No link,Railway,643.0,1851,,
Rhondda Tunnel,/wiki/Rhondda_Tunnel,Railway,3148.0,1890,,
"Tinworks, Treforest",No link,Water,140.0,1907,,
Pontypridd,No link,Railway,1210.0,1889,,
Tongwynlais,No link,Railway,160.0,1907,,
Penllergaer Tunnel,No link,Railway,267.0,1912,,
Llangyfelach Tunnel,No link,Railway,1785.0,1912,,
Peniel Green Tunnel (Lônlas),No link,Railway,845.0,1912,,
Cockett Tunnel,/wiki/Cockett_Tunnel,Railway,721.0,Unknown,51.63361111111111,-3.9672222222222224
Pwll Du Tunnel,/wiki/Pwll_Du_Tunnel,Tramroad,1875.0,1926,51.79861111111111,-3.0958333333333337
Wenvoe Tunnel,/wiki/Wenvoe_Tunnel,Railway,1707.0,1898,51.45777777777778,-3.2608333333333333
Cogan Tunnel,/wiki/Barry_Railway_Company,Railway,203.0,1886,,
"Barry Island Tunnel. Also called ""Pier Tunnel""",/wiki/Barry_Railway_Company,Railway,260.0,1897,,
Porthkerry No.1 Tunnel,No link,Railway,498.0,1898,,
Porthkerry No.2 Tunnel,No link,Railway,65.0,1898,,
Chirk Tunnel,/wiki/Chirk_Tunnel,Canal,420.0,1802,52.931425,-3.064972222222222
Castlerock,No link,Rail,611.0,1845–1853[58],,
Downhill,No link,Rail,281.0,1845–1846[59],,
Lissummon,No link,Rail,1608.0,early 1860s[60],,
Binnian Tunnel,/wiki/Binnian_Tunnel,Aqueduct,4000.0,1948–1952,54.136944444444445,-5.996111111111111
Whitehead,No link,Rail,159.0,1862–1994[61],,
Dungannon,No link,Rail,870.0,1862 [62],,
Marketgait Tunnel,/wiki/A991_road_(Great_Britain),Road,230.0,Unknown,56.4775,-2.935277777777778
Broomieknowe Tunnel,No link,Railway,393.0,1877,,
Clyde Tunnel,/wiki/Clyde_Tunnel,Road,762.0,1964,55.868611111111115,-4.3311111111111105
Drumlanrig Tunnel,No link,Railway,1270.0,Unknown,,
"M8 Motorway, Charing Cross.",No link,Road,,Unknown,,
Glasgow Subway,/wiki/Glasgow_Subway,Railway,10500.0,Unknown,,
Whitrope Tunnel,/wiki/Whitrope_Tunnel,Railway,1105.0,1862,55.30277777777778,-2.7508333333333335
Penmanshiel Tunnel,/wiki/Penmanshiel_Tunnel,Railway,244.0,1979,55.896388888888886,-2.3274999999999997
Nevis Tunnel,/wiki/Lochaber_hydroelectric_scheme,Water,24000.0,Unknown,56.82888888888889,-5.073055555555555
"A9, City Centre Tunnel",No link,Road,,Unknown,,
Scotland Street Tunnel,No link,Railway,910.0,1847,,
Bowshank Tunnel,No link,Railway,226.0,Unknown,,
"Innocent Tunnel, also St Leonard's Tunnel",No link,Railway,518.0,1831,,
Kelvingrove Tunnel,No link,Railway,870.0,1896,,
Cowlairs Tunnel,No link,Railway,914.0,1842,,
Glasgow Harbour Tunnel,No link,Vehicle and pedestrian,213.0,1895,,
Newton Street Tunnel,No link,Railway,1930.0,1889,,
